DATE,USALORSGPNOSTSAM
1976-01-01,98.7973206355466
1976-02-01,98.9937426231872
1976-03-01,99.1215508491993
1976-04-01,99.1818182801888
1976-05-01,99.1860837951069
1976-06-01,99.1504628643279
1976-07-01,99.0935916066917
1976-08-01,99.0337785556771
1976-09-01,98.9876174320825
1976-10-01,98.9687539185133
1976-11-01,98.9891306970368
1976-12-01,99.0581858260169
1977-01-01,99.1791365182314
1977-02-01,99.3507316697307
1977-03-01,99.565115509529
1977-04-01,99.8018643076487
1977-05-01,100.034148668994
1977-06-01,100.233219594928
1977-07-01,100.373203918525
1977-08-01,100.436218778965
1977-09-01,100.421628872283
1977-10-01,100.360552792653
1977-11-01,100.300189351437
1977-12-01,100.291631051557
1978-01-01,100.378024609569
1978-02-01,100.585660213701
1978-03-01,100.908145645515
