"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 17","2.896","3.018","3.036","2.723","3.89M","-3.69%"
"Sep 17","3.007","3.027","3.166","2.885","3.17M","-1.09%"
"Aug 17","3.040","2.810","3.045","2.753","2.94M","8.80%"
"Jul 17","2.794","2.949","3.114","2.781","2.74M","-7.94%"
"Jun 17","3.035","3.080","3.128","2.855","3.16M","-1.17%"
"May 17","3.071","3.249","3.431","3.061","3.17M","-6.26%"
"Apr 17","3.276","3.217","3.347","3.022","2.65M","2.70%"
"Mar 17","3.190","2.770","3.242","2.730","3.12M","15.00%"
"Feb 17","2.774","3.134","3.228","2.522","2.63M","-11.00%"
"Jan 17","3.117","3.568","3.568","3.098","2.84M","-16.30%"
"Dec 16","3.724","3.348","3.994","3.242","3.29M","11.10%"
"Nov 16","3.352","2.979","3.367","2.546","2.99M","10.77%"
"Oct 16","3.026","2.905","3.366","2.627","3.33M","4.13%"
"Sep 16","2.906","2.879","3.098","2.665","2.69M","0.66%"
"Aug 16","2.887","2.840","2.943","2.523","2.96M","0.38%"
"Jul 16","2.876","2.931","2.998","2.625","2.36M","-1.64%"
"Jun 16","2.924","2.287","2.974","2.277","3.12M","27.80%"
"May 16","2.288","2.132","2.303","1.909","2.64M","5.05%"
"Apr 16","2.178","1.963","2.195","1.872","3.04M","11.18%"
"Mar 16","1.959","1.707","2.028","1.611","2.81M","14.49%"
"Feb 16","1.711","2.213","2.228","1.682","2.58M","-25.54%"
"Jan 16","2.298","2.366","2.495","2.044","2.48M","-1.67%"
"Dec 15","2.337","2.230","2.387","1.684","3.01M","4.56%"
"Nov 15","2.235","2.268","2.460","2.051","2.50M","-3.71%"
"Oct 15","2.321","2.522","2.578","1.948","2.94M","-8.04%"
"Sep 15","2.524","2.686","2.794","2.511","2.26M","-6.14%"
"Aug 15","2.689","2.725","2.934","2.624","2.54M","-0.99%"
"Jul 15","2.716","2.816","2.951","2.644","2.61M","-4.10%"
"Jun 15","2.832","2.615","2.955","2.556","3.00M","7.19%"
"May 15","2.642","2.737","3.105","2.633","2.43M","-3.96%"
"Apr 15","2.751","2.637","2.770","2.443","2.44M","4.20%"
"Mar 15","2.640","2.691","2.935","2.578","2.36M","-3.44%"
"Feb 15","2.734","2.664","3.039","2.567","2.49M","1.60%"
"Jan 15","2.691","2.845","3.352","2.637","2.64M","-6.85%"
"Dec 14","2.889","3.975","4.041","2.882","2.62M","-29.33%"
"Nov 14","4.088","4.007","4.544","3.931","3.01M","5.55%"
"Oct 14","3.873","4.130","4.184","3.541","2.38M","-6.02%"
"Sep 14","4.121","4.048","4.178","3.761","2.20M","1.38%"
"Aug 14","4.065","3.829","4.101","3.727","1.97M","5.83%"
"Jul 14","3.841","4.447","4.488","3.723","1.83M","-13.90%"
"Jun 14","4.461","4.551","4.886","4.350","2.09M","-1.78%"
"May 14","4.542","4.797","4.827","4.289","1.89M","-5.67%"
"Apr 14","4.815","4.367","4.852","4.221","2.04M","10.16%"
"Mar 14","4.371","4.690","4.736","4.262","1.94M","-5.16%"
"Feb 14","4.609","4.850","6.493","4.441","3.18M","-6.76%"
"Jan 14","4.943","4.232","5.725","3.953","3.36M","16.86%"
"Dec 13","4.230","3.911","4.532","3.897","2.99M","6.98%"
"Nov 13","3.954","3.574","3.962","3.379","2.08M","10.42%"
"Oct 13","3.581","3.557","3.869","3.480","2.75M","0.59%"
"Sep 13","3.560","3.601","3.820","3.402","2.05M","-0.59%"
"Aug 13","3.581","3.452","3.655","3.129","2.62M","3.92%"
"Jul 13","3.446","3.547","3.835","3.413","2.16M","-3.34%"
"Jun 13","3.565","3.963","4.040","3.526","2.45M","-10.52%"
"May 13","3.984","4.340","4.444","3.883","2.59M","-8.27%"
"Apr 13","4.343","3.969","4.429","3.861","3.45M","7.93%"
"Mar 13","4.024","3.491","4.121","3.408","2.75M","15.43%"
"Feb 13","3.486","3.328","3.554","3.125","2.61M","4.40%"
"Jan 13","3.339","3.348","3.645","3.050","2.63M","-0.36%"
"Dec 12","3.351","3.553","3.748","3.261","2.50M","-5.90%"
"Nov 12","3.561","3.692","3.933","3.470","2.30M","-3.55%"
"Oct 12","3.692","3.325","3.820","3.325","3.55M","11.20%"
"Sep 12","3.320","2.806","3.330","2.647","2.81M","18.61%"
"Aug 12","2.799","3.217","3.241","2.575","3.31M","-12.78%"
"Jul 12","3.209","2.804","3.277","2.718","2.72M","13.63%"
"Jun 12","2.824","2.408","2.946","2.168","3.10M","16.60%"
"May 12","2.422","2.311","2.759","2.236","3.18M","6.00%"
"Apr 12","2.285","2.122","2.320","1.902","2.44M","7.48%"
"Mar 12","2.126","2.593","2.597","2.101","2.47M","-18.73%"
"Feb 12","2.616","2.465","2.733","2.340","3.23M","4.51%"
"Jan 12","2.503","2.969","3.123","2.231","3.12M","-16.26%"
"Dec 11","2.989","3.575","3.689","2.957","2.30M","-15.80%"
"Nov 11","3.550","3.932","3.955","3.285","2.41M","-9.76%"
"Oct 11","3.934","3.643","3.978","3.446","2.74M","7.31%"
"Sep 11","3.666","4.060","4.130","3.651","2.47M","-9.57%"
"Aug 11","4.054","4.135","4.230","3.780","2.54M","-2.20%"
"Jul 11","4.145","4.372","4.612","4.064","2.10M","-5.24%"
"Jun 11","4.374","4.655","4.983","4.154","2.68M","-6.26%"
"May 11","4.666","4.685","4.729","4.077","2.41M","-0.68%"
"Apr 11","4.698","4.405","4.705","3.990","2.64M","7.04%"
"Mar 11","4.389","4.050","4.480","3.731","2.85M","8.72%"
"Feb 11","4.037","4.417","4.496","3.775","2.38M","-8.67%"
"Jan 11","4.420","4.492","4.879","4.252","2.51M","0.34%"
"Dec 10","4.405","4.196","4.637","3.951","2.62M","5.38%"
"Nov 10","4.180","4.031","4.487","3.710","2.49M","3.52%"
"Oct 10","4.038","3.861","4.075","3.212","2.41M","4.29%"
"Sep 10","3.872","3.790","4.144","3.697","2.33M","1.47%"
"Aug 10","3.816","4.988","5.007","3.620","2.25M","-22.49%"
"Jul 10","4.923","4.636","4.937","4.288","2.15M","6.65%"
"Jun 10","4.616","4.350","5.196","4.217","2.53M","6.33%"
"May 10","4.341","3.935","4.494","3.855","1.90M","10.74%"
"Apr 10","3.920","3.874","4.386","3.810","2.50M","1.32%"
"Mar 10","3.869","4.772","4.869","3.820","1.92M","-19.61%"
"Feb 10","4.813","5.247","5.680","4.739","2.06M","-6.20%"
"Jan 10","5.131","5.705","6.108","5.060","2.01M","-7.91%"
"Dec 09","5.572","4.820","6.035","4.432","2.42M","14.93%"
"Nov 09","4.848","5.034","5.290","4.157","2.14M","-3.90%"
"Oct 09","5.045","4.825","5.318","4.230","2.80M","4.21%"
"Sep 09","4.841","2.984","4.975","2.409","2.90M","62.61%"
"Aug 09","2.977","3.632","4.162","2.692","2.12M","-18.51%"
"Jul 09","3.653","3.849","3.904","3.225","2.00M","-4.75%"
"Jun 09","3.835","3.869","4.387","3.550","2.27M","0.00%"
"May 09","3.835","3.393","4.575","3.361","1.77M","13.70%"
"Apr 09","3.373","3.791","3.904","3.155","1.15M","-10.67%"
"Mar 09","3.776","4.274","4.424","3.600","1.47M","-10.05%"
"Feb 09","4.198","4.315","4.880","3.916","1.31M","-4.96%"
"Jan 09","4.417","5.550","6.240","4.359","1.04M","-21.43%"
"Dec 08","5.622","6.550","6.685","5.210","1.10M","-13.64%"
"Nov 08","6.510","6.693","7.360","6.054","1.21M","-4.02%"
"Oct 08","6.783","7.518","7.938","5.990","1.41M","-8.81%"
"Sep 08","7.438","8.094","8.320","7.023","1.69M","-6.36%"
"Aug 08","7.943","9.123","9.600","7.617","1.84M","-12.90%"
"Jul 08","9.119","13.374","13.694","8.810","2.09M","-31.71%"
"Jun 08","13.353","11.791","13.448","11.633","1.68M","14.10%"
"May 08","11.703","10.920","12.085","10.480","1.74M","7.93%"
"Apr 08","10.843","10.033","11.360","9.290","1.72M","7.35%"
"Mar 08","10.101","9.387","10.294","8.664","1.51M","7.85%"
"Feb 08","9.366","8.065","9.498","7.580","1.46M","16.00%"
"Jan 08","8.074","7.572","8.481","7.500","1.18M","7.90%"
"Dec 07","7.483","7.209","7.540","6.838","1.02M","2.48%"
"Nov 07","7.302","8.373","8.712","7.180","1.10M","-12.34%"
"Oct 07","8.330","6.860","8.475","6.640","1.48M","21.25%"
"Sep 07","6.870","5.440","7.039","5.249","1.26M","25.64%"
"Aug 07","5.468","6.201","7.192","5.192","1.40M","-11.68%"
"Jul 07","6.191","6.720","6.849","5.754","1.09M","-8.59%"
"Jun 07","6.773","7.955","8.210","6.551","1.24M","-14.64%"
"May 07","7.935","7.833","8.230","7.489","1.13M","0.92%"
"Apr 07","7.863","7.768","8.010","7.250","1.02M","1.72%"
"Mar 07","7.730","7.218","7.770","6.812","915.46K","5.89%"
"Feb 07","7.300","7.705","8.035","7.050","1.14M","-4.79%"
"Jan 07","7.667","6.205","7.966","6.030","1.15M","21.72%"
"Dec 06","6.299","8.732","8.749","5.740","852.36K","-28.78%"
"Nov 06","8.844","7.600","9.050","7.278","918.35K","17.39%"
"Oct 06","7.534","5.606","7.929","5.460","914.72K","34.06%"
"Sep 06","5.620","5.890","6.130","4.050","707.55K","-7.08%"
"Aug 06","6.048","8.250","8.619","5.850","764.03K","-26.34%"
"Jul 06","8.211","6.090","8.260","5.390","587.84K","34.52%"
"Jun 06","6.104","6.420","7.330","5.810","677.74K","-4.39%"
"May 06","6.384","6.533","7.133","5.750","663.17K","-2.61%"
"Apr 06","6.555","7.200","8.280","6.490","674.39K","-9.08%"
"Mar 06","7.210","6.714","7.562","6.450","589.16K","7.39%"
"Feb 06","6.714","9.325","9.825","6.580","621.11K","-27.93%"
"Jan 06","9.316","10.700","11.000","7.750","536.07K","-17.01%"
"Dec 05","11.225","12.620","15.780","10.720","599.53K","-10.82%"
"Nov 05","12.587","12.210","12.695","10.880","572.83K","3.13%"
"Oct 05","12.205","13.802","14.750","12.140","557.32K","-12.33%"
"Sep 05","13.921","11.419","14.600","10.608","591.60K","21.35%"
"Aug 05","11.472","7.900","12.300","7.900","784.59K","45.49%"
