,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
100,1922,43.0,52.5,56.4,65.3,74.1,80.2,85.0,85.2,79.4,67.6,57.5,52.8,66.6
101,1921,51.4,52.0,63.4,62.8,73.4,78.8,83.4,86.4,81.9,67.9,61.6,51.2,67.9
102,1920,43.0,50.4,56.4,63.6,73.4,78.3,82.8,78.1,77.9,67.6,51.9,48.3,64.3
103,1919,45.8,47.3,56.1,65.0,69.8,76.7,81.4,82.0,75.6,68.4,53.6,44.4,63.8
104,1918,36.8,52.0,62.2,63.4,75.2,84.4,85.1,87.0,73.0,69.0,53.6,49.8,66.0
105,1917,48.6,49.9,58.3,63.8,66.8,80.6,84.6,84.2,75.8,64.0,57.4,41.6,64.6
106,1916,46.2,48.8,62.4,62.3,72.8,80.2,84.8,83.6,77.4,68.1,55.4,48.0,65.8
107,1915,45.4,52.2,46.8,66.2,72.7,80.3,81.9,79.1,77.1,67.6,60.1,50.9,65.0
108,1914,53.0,44.3,55.5,63.2,70.2,83.0,86.6,80.0,77.4,66.2,57.1,39.7,64.7
109,1913,46.1,43.8,53.2,64.8,73.6,79.4,85.1,85.9,72.9,62.6,62.4,45.6,64.6
110,1912,40.6,45.6,49.8,64.5,74.0,77.0,85.8,82.0,76.9,68.7,55.2,45.5,63.8
111,1911,53.3,53.8,63.3,63.8,74.0,85.9,82.4,84.5,82.3,66.2,51.8,45.0,67.2
112,1910,48.2,44.6,64.4,64.6,70.3,80.0,85.0,86.4,81.2,67.4,58.6,47.9,66.6
113,1909,49.0,53.8,59.0,64.2,72.6,81.4,87.4,85.6,78.2,68.9,63.2,39.4,66.9
114,1908,48.6,49.7,63.5,64.4,72.8,80.2,81.2,82.2,76.0,64.4,57.2,50.8,65.9
115,1907,54.4,51.9,66.8,61.8,65.8,79.6,82.6,85.6,79.6,66.2,52.4,49.3,66.3
116,1906,47.1,47.0,51.6,66.4,71.6,79.3,80.8,80.4,77.2,61.4,55.2,51.7,64.1
117,1905,38.2,35.4,60.5,62.0,73.0,80.2,79.4,83.0,78.2,65.0,58.3,42.5,63.0
118,1904,44.6,52.2,62.9,64.0,71.6,78.2,81.8,81.0,77.8,68.4,56.6,47.1,65.5
119,1903,46.0,43.4,54.1,64.4,69.6,73.3,80.6,82.1,74.8,63.7,53.8,47.4,62.8
120,1902,44.0,46.0,57.8,68.7,74.8,83.2,81.6,86.7,72.8,67.2,58.5,45.7,65.6
121,1901,50.8,45.0,56.7,62.6,71.5,82.0,85.2,85.5,77.4,70.4,57.3,46.5,65.9
122,1900,47.3,46.7,56.3,64.5,71.6,81.9,80.7,81.2,80.6,69.8,57.8,49.3,65.6
123,1899,42.0,35.1,55.4,61.8,75.4,79.2,81.4,87.0,76.5,69.4,58.0,46.2,64.0
124,1898,,,,,,,,,77.2,64.8,51.0,40.9,
